time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1993-12-10T03:58:45.050Z,0.457,125.761,29.3,4.9,mb,,,,1.4,us,usp00064xp,2014-11-07T00:54:34.915Z,"Molucca Sea",earthquake,,,,14,reviewed,us,us
1993-12-09T18:59:17.000Z,0.311,125.736,33,4.8,mb,,,,1,us,usp00064x8,2014-11-07T00:54:34.882Z,"Molucca Sea",earthquake,,,,5,reviewed,us,us
1993-12-09T18:30:10.030Z,0.534,126.082,33,5,mb,,,,0.9,us,usp00064x7,2014-11-07T00:54:34.881Z,"Molucca Sea",earthquake,,,,5,reviewed,us,us
1993-12-09T14:11:53.160Z,0.273,125.718,34.7,5.1,mb,,,,1,us,usp00064x1,2014-11-07T00:54:34.843Z,"Molucca Sea",earthquake,,,,12,reviewed,us,us
1993-12-09T14:06:58.440Z,0.26,125.776,53.9,4.7,mb,,,,1.4,us,usp00064wz,2014-11-07T00:54:34.840Z,"Molucca Sea",earthquake,,20,,5,reviewed,us,us
1993-12-09T13:31:08.760Z,0.423,126.128,84.8,5,mb,,,,1.2,us,usp00064wx,2014-11-07T00:54:34.836Z,"Molucca Sea",earthquake,,15.9,,5,reviewed,us,us
1993-12-09T12:40:30.330Z,0.354,125.764,33,5,mb,,,,1,us,usp00064wv,2014-11-07T00:54:34.830Z,"Molucca Sea",earthquake,,,,17,reviewed,us,us
1993-12-09T12:07:36.620Z,0.38,125.896,33.7,5.2,mb,,,,1.2,us,usp00064wu,2014-11-07T00:54:34.827Z,"Molucca Sea",earthquake,,15.4,,9,reviewed,us,us
1993-12-09T12:05:24.780Z,0.315,125.739,33,5,mb,,,,0.7,us,usp00064wt,2014-11-07T00:54:34.824Z,"Molucca Sea",earthquake,,,,11,reviewed,us,us
1993-12-09T11:59:28.790Z,0.344,125.835,42.1,4.9,mb,,,,1.2,us,usp00064ws,2014-11-07T00:54:34.821Z,"Molucca Sea",earthquake,,12.5,,9,reviewed,us,us
1993-12-09T11:50:54.640Z,0.314,125.821,48.7,5,mb,,,,1.1,us,usp00064wr,2014-11-07T00:54:34.818Z,"Molucca Sea",earthquake,,8.8,,12,reviewed,us,us
1993-12-09T11:44:01.030Z,0.13,125.638,33,4.8,mb,,,,1.1,us,usp00064wq,2014-11-07T00:54:34.815Z,"Molucca Sea",earthquake,,,,1,reviewed,us,us
1993-12-09T11:38:27.960Z,0.425,125.891,15.9,6.8,mw,,,,1.2,us,usp00064wp,2016-11-10T00:54:30.378Z,"Molucca Sea",earthquake,,,,,reviewed,us,hrv
1993-12-09T11:34:37.190Z,0.279,125.74,33,5,mb,,,,1.2,us,usp00064wn,2014-11-07T00:54:34.758Z,"Molucca Sea",earthquake,,,,5,reviewed,us,us
1993-12-09T10:22:57.210Z,-0.709,133.119,10,4.6,mb,,,,0.5,us,usp00064wg,2014-11-07T00:54:34.745Z,"near the north coast of Papua, Indonesia",earthquake,,,,2,reviewed,us,us
